Country,Date,AnnualGDP,AnnualGDP1,GDP _Growth_percentage
United States,1980,"$2,857,300M",-0.3%,
Euro zone,1980,"$2,962,181M",,
United Kingdom,1980,"€406,184M","$603,983M",-2.0%
Germany,1980,"€610,968M","$853,705M",1.4%
France,1980,"€504,931M","$701,305M",1.6%
Japan,1980,"€770,809M","$1,127,880M",2.8%
Spain,1980,"€159,100M","$230,759M",1.2%
Italy,1980,"€331,149M","$482,019M",19.6%
Portugal,1980,"€8,236M","$32,607M",4.6%
Greece,1980,"€7,110M","$56,529M",0.7%
Ireland,1980,"€13,352M","$21,425M",3.1%
Andorra,1980,€238M,$446M,2.2%
United Arab Emirates,1980,"$40,415M",-1.8%,
Afghanistan,1980,"$3,642M",-3.7%,
Antigua and Barbuda,1980,$131M,8.2%,
Albania,1980,"$1,946M",2.7%,
Angola,1980,"$6,639M",2.4%,
Argentina,1980,"$233,696M",0.7%,
Austria,1980,"€58,475M","$80,923M",1.7%
Australia,1980,"$162,628M",3.3%,
Barbados,1980,"$1,018M",4.4%,
Bangladesh,1980,"$22,561M",3.1%,
Belgium,1980,"€87,726M","$123,478M",4.5%
Burkina Faso,1980,"$2,386M",4.0%,
Bulgaria,1980,€25M,"$32,353M",5.7%
Bahrain,1980,"$3,593M",7.5%,
Burundi,1980,$951M,-6.8%,
Benin,1980,"$2,302M",9.3%,
Brunei,1980,"$4,929M",-7.0%,
Bolivia,1980,"$3,589M",0.6%,
Brazil,1980,"$145,819M",9.2%,
Bahamas,1980,"$2,598M",7.1%,
Bhutan,1980,$123M,5.0%,
Botswana,1980,"$1,132M",12.0%,
Belize,1980,$172M,5.0%,
Canada,1980,"$276,035M",2.2%,
Democratic Republic of the Congo,1980,"$68,606M",2.4%,
Central African Republic,1980,$714M,-3.0%,
Republic of the Congo,1980,"$2,165M",12.7%,
Switzerland,1980,"€88,299M","$122,701M",4.6%
Ivory Coast,1980,"$13,877M",5.2%,
Chile,1980,"$28,828M",7.9%,
Cameroon,1980,"$8,193M",9.9%,
China,1980,"$303,004M",7.8%,
Colombia,1980,"$46,482M",4.2%,
Costa Rica,1980,"$4,854M",0.8%,
Cuba,1980,"$19,913M",-4.8%,
Cape Verde,1980,$157M,5.3%,
Cyprus,1980,"€1,393M","$2,314M",5.9%
Djibouti,1980,$310M,4.7%,
